Sample name	shannon	part	type	family
S.59	11.508	Soil	Temperate grassland	Artemisia Linn.
S.6	10.311	Soil	Warm-temperate grassland	Stipa
S.60	11.307	Soil	Warm-temperate grassland	Stipa
S.600	11.143	Soil	Warm-temperate grassland	Artemisia Linn.
S.61	11.497	Soil	Warm-temperate grassland	Artemisia Linn.
S.67	11.181	Soil	Warm-temperate grassland	other
S.69	11.239	Soil	Temperate grassland	other
S.72	11.121	Soil	Temperate grassland	Stipa
S.74	10.725	Soil	Desert steppe	Artemisia Linn.
S.76	10.695	Soil	Desert steppe	Stipa
S.79	10.509	Soil	Desert steppe	Artemisia Linn.
S.82	10.478	Soil	Desert steppe	Artemisia Linn.
S.87	11.215	Soil	Desert steppe	Stipa
S.88	11.005	Soil	Desert steppe	Stipa
S.9	10.767	Soil	Warm-temperate grassland	Agropyron
S.90	11.369	Soil	Desert steppe	other
S.91	11.095	Soil	Desert steppe	Stipa
S.93	10.725	Soil	Desert steppe	Stipa
S.94	10.923	Soil	Desert steppe	Stipa
S.B001	10.806	Soil	Temperate grassland	Agropyron
S.B002	11.07	Soil	Desert steppe	Stipa
S.B003	11.056	Soil	Temperate grassland	Stipa
S.B583	11.232	Soil	Warm-temperate grassland	Stipa
S.B585	11.373	Soil	Warm-temperate grassland	Stipa
S.B585T	11.224	Soil	Warm-temperate grassland	Artemisia Linn.
