pc vector number	part	type	shu	ke	pc vector number	PC1	PC2			
RB.67	3Rhizopl.	Warm-temperate grassland	other	Gramineae	RB.67	0.122720936	0.101603945			
RB.69	3Rhizopl.	Temperate grassland	other	Gramineae	RB.69	0.16719575	0.10595869			
RB.72	3Rhizopl.	Temperate grassland	Stipa	Gramineae	RB.72	0.146046893	0.044584592			
RB.74	3Rhizopl.	Desert steppe	Artemisia Linn.	Asteraceae	RB.74	0.085966724	-0.033533339			
RB.76	3Rhizopl.	Desert steppe	Stipa	Gramineae	RB.76	0.156358885	-0.000984686			
RB.79	3Rhizopl.	Desert steppe	Artemisia Linn.	Asteraceae	RB.79	0.117602875	0.007743419			
RB.82	3Rhizopl.	Desert steppe	Artemisia Linn.	Asteraceae	RB.82	-0.237708453	-0.19023847			
RB.87	3Rhizopl.	Desert steppe	Stipa	Gramineae	RB.87	-0.225471542	-0.166152052			
RB.88	3Rhizopl.	Desert steppe	Stipa	Gramineae	RB.88	0.185277525	0.075528699			
RB.9	3Rhizopl.	Warm-temperate grassland	Agropyron	Gramineae	RB.9	0.157299078	0.089467525			
RB.90	3Rhizopl.	Desert steppe	other	Gramineae	RB.90	0.022981688	-0.087641766			
RB.91	3Rhizopl.	Desert steppe	Stipa	Gramineae	RB.91	0.052289783	-0.032676001			
RB.93	3Rhizopl.	Desert steppe	Stipa	Gramineae	RB.93	0.055455698	-0.054236477			
RB.94	3Rhizopl.	Desert steppe	Stipa	Gramineae	RB.94	0.11053936	0.009382968			
RB.B001	3Rhizopl.	Temperate grassland	Agropyron	Gramineae	RB.B001	0.13891179	0.049918745			
RB.B002	3Rhizopl.	Desert steppe	Stipa	Gramineae	RB.B002	0.095155858	-0.005346343			
RB.B003	3Rhizopl.	Temperate grassland	Stipa	Gramineae	RB.B003	0.162055729	0.032924074			
RB.B583	3Rhizopl.	Warm-temperate grassland	Stipa	Gramineae	RB.B583	0.133233447	0.066531633			
RB.B585	3Rhizopl.	Warm-temperate grassland	Stipa	Gramineae	RB.B585	0.05959238	-0.015269096			
RB.B585T	3Rhizopl.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RB.B585T	0.162655131	0.083544717			
RJ.101	2Rhizosp.	Desert steppe	Stipa	Gramineae	RJ.101	-0.234021797	-0.546455307			
RJ.103	2Rhizosp.	Desert steppe	other	other	RJ.103	-0.104033729	-0.362779243			
RJ.112	2Rhizosp.	Temperate grassland	Stipa	Gramineae	RJ.112	-0.201248867	-0.518300069			
RJ.113	2Rhizosp.	Temperate grassland	Stipa	Gramineae	RJ.113	-0.116017567	-0.481623257			
RJ.14	2Rhizosp.	Warm-temperate grassland	Stipa	Gramineae	RJ.14	0.161777468	0.065137135			
RJ.16	2Rhizosp.	Warm-temperate grassland	Artemisia Linn.	other	RJ.16	0.145863814	0.067235302			
RJ.21	2Rhizosp.	Warm-temperate grassland	Agropyron	Gramineae	RJ.21	-0.28993075	-0.499845236			
RJ.24	2Rhizosp.	Temperate grassland	Artemisia Linn.	Asteraceae	RJ.24	0.155234466	0.068929297			
RJ.243	2Rhizosp.	Temperate grassland	Agropyron	Gramineae	RJ.243	-0.190035117	-0.521635625			
RJ.245	2Rhizosp.	Temperate grassland	Stipa	Gramineae	RJ.245	-0.177738887	-0.488402694			
RJ.246	2Rhizosp.	Temperate grassland	Agropyron	Gramineae	RJ.246	-0.27193536	-0.568359789			
RJ.247	2Rhizosp.	Temperate grassland	Agropyron	Gramineae	RJ.247	-0.165588458	-0.490352802			
RJ.24G	2Rhizosp.	Temperate grassland	Artemisia Linn.	Asteraceae	RJ.24G	0.165879253	0.042844664			
RJ.25	2Rhizosp.	Temperate grassland	Stipa	Gramineae	RJ.25	0.207466402	0.025962263			
RJ.252	2Rhizosp.	Desert steppe	Stipa	Gramineae	RJ.252	-0.276517905	-0.569761264			
RJ.253	2Rhizosp.	Desert steppe	Reaumuria Linn.	other	RJ.253	-0.274685149	-0.583951818			
RJ.260	2Rhizosp.	Desert steppe	Stipa	Gramineae	RJ.260	-0.228793777	-0.549135061			
RJ.27	2Rhizosp.	Temperate grassland	Agropyron	Gramineae	RJ.27	0.172269027	0.028546578			
RJ.313	2Rhizosp.	Desert steppe	Agropyron	Gramineae	RJ.313	-0.21642705	-0.539287503			
RJ.36	2Rhizosp.	Temperate grassland	Stipa	Gramineae	RJ.36	0.196368285	0.054416574			
RJ.4	2Rhizosp.	Warm-temperate grassland	other	Gramineae	RJ.4	-0.02804262	0.001485354			
RJ.416	2Rhizosp.	Desert steppe	Reaumuria Linn.	other	RJ.416	-0.301498256	-0.595072165			
RJ.418	2Rhizosp.	Desert steppe	Reaumuria Linn.	other	RJ.418	-0.070913749	-0.146456444			
RJ.419	2Rhizosp.	Desert steppe	Artemisia Linn.	Asteraceae	RJ.419	0.033304423	-0.184531503			
RJ.41B	2Rhizosp.	Temperate grassland	other	other	RJ.41B	0.149986641	0.015371776			
RJ.41D	2Rhizosp.	Temperate grassland	Stipa	Gramineae	RJ.41D	0.008004265	-0.106399069			
RJ.42	2Rhizosp.	Temperate grassland	Agropyron	Gramineae	RJ.42	0.122429547	-0.009026981			
RJ.420	2Rhizosp.	Desert steppe	Stipa	Gramineae	RJ.420	0.142799801	-0.000608805			
RJ.424	2Rhizosp.	Desert steppe	Agropyron	Gramineae	RJ.424	0.200718683	0.016497691			
RJ.488	2Rhizosp.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RJ.488	0.140408961	0.064405511			
RJ.50	2Rhizosp.	Temperate grassland	Artemisia Linn.	Asteraceae	RJ.50	0.175717712	0.07793999			
RJ.512	2Rhizosp.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RJ.512	0.181826771	0.072500117			
RJ.513	2Rhizosp.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RJ.513	0.158251958	0.063340027			
RJ.514	2Rhizosp.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RJ.514	0.188905747	0.092807247			
RJ.517	2Rhizosp.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RJ.517	0.114815151	0.076198751			
RJ.524	2Rhizosp.	Temperate grassland	Artemisia Linn.	Asteraceae	RJ.524	0.205029844	0.040704494			
RJ.526	2Rhizosp.	Temperate grassland	Agropyron	Gramineae	RJ.526	0.144163552	0.079028477			
RJ.527	2Rhizosp.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RJ.527	0.186645028	0.08474232			
RJ.534	2Rhizosp.	Warm-temperate grassland	Stipa	Gramineae	RJ.534	0.179377955	0.034068702			
RJ.542	2Rhizosp.	Temperate grassland	Stipa	Gramineae	RJ.542	0.194303811	0.077047777			
RJ.55	2Rhizosp.	Temperate grassland	Artemisia Linn.	Asteraceae	RJ.55	0.158716669	0.096163806			
RJ.558	2Rhizosp.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RJ.558	0.173767043	0.071543939			
RJ.56	2Rhizosp.	Temperate grassland	other	Gramineae	RJ.56	0.162340969	0.030057612			
RJ.563	2Rhizosp.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RJ.563	0.167697103	0.062832132			
RJ.565	2Rhizosp.	Temperate grassland	Artemisia Linn.	Asteraceae	RJ.565	0.123486999	0.089268128			
RJ.566	2Rhizosp.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RJ.566	0.170652738	0.079544231			
RJ.567	2Rhizosp.	Warm-temperate grassland	other	Gramineae	RJ.567	0.200564246	0.104581185			
RJ.569C	2Rhizosp.	Temperate grassland	Agropyron	Gramineae	RJ.569C	0.048705723	0.005323112			
RJ.569Z	2Rhizosp.	Temperate grassland	other	Gramineae	RJ.569Z	0.226962685	0.066143203			
