#sampleID	Description	Env	SourceSink	Study	Details
RJ.57	RJ.57	Rhizosp.	source	Temperate grassland	NA
RJ.570	RJ.570	Rhizosp.	source	Temperate grassland	NA
RJ.571	RJ.571	Rhizosp.	source	Warm-temperate grassland	NA
RJ.575	RJ.575	Rhizosp.	source	Warm-temperate grassland	NA
RJ.577	RJ.577	Rhizosp.	source	Warm-temperate grassland	NA
RJ.578	RJ.578	Rhizosp.	source	Warm-temperate grassland	NA
RJ.579	RJ.579	Rhizosp.	source	Warm-temperate grassland	NA
RJ.58	RJ.58	Rhizosp.	source	Temperate grassland	NA
RJ.59	RJ.59	Rhizosp.	source	Temperate grassland	NA
RJ.6	RJ.6	Rhizosp.	source	Warm-temperate grassland	NA
RJ.60	RJ.60	Rhizosp.	source	Warm-temperate grassland	NA
RJ.600	RJ.600	Rhizosp.	source	Warm-temperate grassland	NA
RJ.61	RJ.61	Rhizosp.	source	Warm-temperate grassland	NA
RJ.67	RJ.67	Rhizosp.	source	Warm-temperate grassland	NA
RJ.69	RJ.69	Rhizosp.	source	Temperate grassland	NA
RJ.72	RJ.72	Rhizosp.	source	Temperate grassland	NA
RJ.74	RJ.74	Rhizosp.	source	Desert steppe	NA
RJ.76	RJ.76	Rhizosp.	source	Desert steppe	NA
RJ.79	RJ.79	Rhizosp.	source	Desert steppe	NA
RJ.82	RJ.82	Rhizosp.	source	Desert steppe	NA
RJ.87	RJ.87	Rhizosp.	source	Desert steppe	NA
RJ.88	RJ.88	Rhizosp.	source	Desert steppe	NA
RJ.9	RJ.9	Rhizosp.	source	Warm-temperate grassland	NA
RJ.90	RJ.90	Rhizosp.	source	Desert steppe	NA
RJ.91	RJ.91	Rhizosp.	source	Desert steppe	NA
RJ.93	RJ.93	Rhizosp.	source	Desert steppe	NA
RJ.94	RJ.94	Rhizosp.	source	Desert steppe	NA
RJ.B001	RJ.B001	Rhizosp.	source	Temperate grassland	NA
RJ.B002	RJ.B002	Rhizosp.	source	Desert steppe	NA
RJ.B003	RJ.B003	Rhizosp.	source	Temperate grassland	NA
RJ.B583	RJ.B583	Rhizosp.	source	Warm-temperate grassland	NA
RJ.B585	RJ.B585C	Rhizosp.	source	Warm-temperate grassland	NA
RJ.B585T	RJ.B585T	Rhizosp.	source	Warm-temperate grassland	NA
S.101	S.101	Soil	source	Desert steppe	NA
S.103	S.103	Soil	source	Desert steppe	NA
S.104	S.104	Soil	source	Desert steppe	NA
S.112	S.112	Soil	source	Temperate grassland	NA
S.113	S.113	Soil	source	Temperate grassland	NA
S.14	S.14	Soil	source	Warm-temperate grassland	NA
S.16	S.16	Soil	source	Warm-temperate grassland	NA
S.21	S.21	Soil	source	Warm-temperate grassland	NA
S.24	S.24	Soil	source	Temperate grassland	NA
S.243	S.243	Soil	source	Temperate grassland	NA
S.245	S.245	Soil	source	Temperate grassland	NA
S.246	S.246	Soil	source	Temperate grassland	NA
S.247	S.247	Soil	source	Temperate grassland	NA
S.24G	S.24G	Soil	source	Temperate grassland	NA
S.25	S.25	Soil	source	Temperate grassland	NA
S.252	S.252	Soil	source	Desert steppe	NA
S.253	S.253	Soil	source	Desert steppe	NA
S.260	S.260	Soil	source	Desert steppe	NA
S.27	S.27	Soil	source	Temperate grassland	NA
S.313	S.313	Soil	source	Desert steppe	NA
S.36	S.36	Soil	source	Temperate grassland	NA
S.4	S.4	Soil	source	Warm-temperate grassland	NA
S.416	S.416	Soil	source	Desert steppe	NA
S.418	S.418	Soil	source	Desert steppe	NA
S.419	S.419	Soil	source	Desert steppe	NA
S.41B	S.41B	Soil	source	Temperate grassland	NA
S.41D	S.41D	Soil	source	Temperate grassland	NA
S.42	S.42	Soil	source	Temperate grassland	NA
S.420	S.420	Soil	source	Desert steppe	NA
S.424	S.424	Soil	source	Desert steppe	NA
S.488	S.488	Soil	source	Warm-temperate grassland	NA
S.50	S.50	Soil	source	Temperate grassland	NA
S.512	S.512	Soil	source	Warm-temperate grassland	NA
S.513	S.513	Soil	source	Warm-temperate grassland	NA
S.514	S.514	Soil	source	Warm-temperate grassland	NA
S.517	S.517	Soil	source	Warm-temperate grassland	NA
S.524	S.524	Soil	source	Temperate grassland	NA
S.526	S.526	Soil	source	Temperate grassland	NA
S.527	S.527	Soil	source	Warm-temperate grassland	NA
S.534	S.534	Soil	source	Warm-temperate grassland	NA
S.54	S.54	Soil	source	Temperate grassland	NA
S.542	S.542	Soil	source	Temperate grassland	NA
S.55	S.558	Soil	source	Warm-temperate grassland	NA
S.558	S.55T	Soil	source	Temperate grassland	NA
S.56	S.56	Soil	source	Temperate grassland	NA
S.563	S.563	Soil	source	Warm-temperate grassland	NA
S.565	S.565T	Soil	source	Temperate grassland	NA
S.566	S.566T	Soil	source	Warm-temperate grassland	NA
S.567	S.567	Soil	source	Warm-temperate grassland	NA
S.569C	S.569C	Soil	source	Temperate grassland	NA
S.569Z	S.569Z	Soil	source	Temperate grassland	NA
S.57	S.57	Soil	source	Temperate grassland	NA
S.570	S.570	Soil	source	Temperate grassland	NA
S.571	S.571	Soil	source	Warm-temperate grassland	NA
S.575	S.575	Soil	source	Warm-temperate grassland	NA
S.577	S.577	Soil	source	Warm-temperate grassland	NA
S.578	S.578	Soil	source	Warm-temperate grassland	NA
S.579	S.579	Soil	source	Warm-temperate grassland	NA
S.58	S.58	Soil	source	Temperate grassland	NA
S.59	S.59	Soil	source	Temperate grassland	NA
S.6	S.6	Soil	source	Warm-temperate grassland	NA
S.60	S.60	Soil	source	Warm-temperate grassland	NA
S.600	S.600	Soil	source	Warm-temperate grassland	NA
S.61	S.61	Soil	source	Warm-temperate grassland	NA
S.67	S.67	Soil	source	Warm-temperate grassland	NA
S.69	S.69	Soil	source	Temperate grassland	NA
S.72	S.72	Soil	source	Temperate grassland	NA
S.74	S.74	Soil	source	Desert steppe	NA
S.76	S.76	Soil	source	Desert steppe	NA
S.79	S.79	Soil	source	Desert steppe	NA
S.82	S.82	Soil	source	Desert steppe	NA
S.87	S.87	Soil	source	Desert steppe	NA
S.88	S.88	Soil	source	Desert steppe	NA
S.9	S.9	Soil	source	Warm-temperate grassland	NA
S.90	S.90	Soil	source	Desert steppe	NA
S.91	S.91	Soil	source	Desert steppe	NA
S.93	S.93	Soil	source	Desert steppe	NA
S.94	S.94	Soil	source	Desert steppe	NA
S.B001	S.B001	Soil	source	Temperate grassland	NA
S.B002	S.B002	Soil	source	Desert steppe	NA
S.B003	S.B003	Soil	source	Temperate grassland	NA
S.B583	S.B583	Soil	source	Warm-temperate grassland	NA
S.B585	S.B585	Soil	source	Warm-temperate grassland	NA
S.B585T	S.B585T	Soil	source	Warm-temperate grassland	NA
